;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;BANK OF NEW YORK MELLON;1;1;1;1;1;1;1;1;1;1;10;;;;QUALCOMM;10;;;;;;;;;;;;;;;;;;;;;;;
82;PHILIP MORRIS INTL.;0;1;1;1;1;1;1;1;1;1;9;;;;US BANCORP;10;;;;;;;;;;;;;;;;;;;;;;;
83;VISA 'A';1;1;1;1;1;1;1;1;1;1;10;;;;RAYTHEON 'B';10;;;;;;;;;;;;;;;;;;;;;;;
84;KINDER MORGAN;0;0;0;1;1;1;1;1;1;1;7;;;;MERCK & COMPANY;10;;;;;;;;;;;;;;;;;;;;;;;
85;ACCENTURE CLASS A;0;1;1;1;1;1;1;1;1;1;9;;;;SCHLUMBERGER;10;;;;;;;;;;;;;;;;;;;;;;;
86;GENERAL MOTORS;0;0;1;1;1;1;1;1;1;1;8;;;;SIMON PROPERTY GROUP;10;;;;;;;;;;;;;;;;;;;;;;;
87;FACEBOOK CLASS A;0;0;0;0;0;1;1;1;1;1;5;;;;SOUTHERN;10;;;;;;;;;;;;;;;;;;;;;;;
88;DUKE ENERGY;1;1;1;1;1;1;1;1;1;1;10;;;;AT&T;10;;;;;;;;;;;;;;;;;;;;;;;
89;MONDELEZ INTERNATIONAL CL.A;1;1;1;1;1;1;1;1;1;1;10;;;;CHEVRON;10;;;;;;;;;;;;;;;;;;;;;;;
90;ABBVIE;0;0;0;0;0;1;1;1;1;1;5;;;;STARBUCKS;10;;;;;;;;;;;;;;;;;;;;;;;
91;TWENTY-FIRST CENTURY FOX CL.A;0;0;0;0;0;0;0;0;0;0;0;;;;NETFLIX;10;;;;;;;;;;;;;;;;;;;;;;;
92;TWENTY-FIRST CENTURY FOX CL.B;0;0;0;0;0;0;0;0;0;0;0;;;;TEXAS INSTRUMENTS;10;;;;;;;;;;;;;;;;;;;;;;;
93;BOOKING HOLDINGS;1;1;1;1;1;1;1;1;1;1;10;;;;UNION PACIFIC;10;;;;;;;;;;;;;;;;;;;;;;;
94;MEDTRONIC;0;0;0;0;0;0;0;1;1;1;3;;;;UNITED TECHNOLOGIES;10;;;;;;;;;;;;;;;;;;;;;;;
95;WALGREENS BOOTS ALLIANCE;0;0;0;0;0;0;0;1;1;1;3;;;;UNITEDHEALTH GROUP;10;;;;;;;;;;;;;;;;;;;;;;;
96;ALLERGAN;0;0;0;0;0;0;1;1;1;1;4;;;;WALMART;10;;;;;;;;;;;;;;;;;;;;;;;
97;DOWDUPONT;0;0;0;0;0;0;0;0;0;0;0;;;;MASTERCARD;10;;;;;;;;;;;;;;;;;;;;;;;
98;KRAFT HEINZ;0;0;0;0;0;0;0;0;1;1;2;;;;BANK OF NEW YORK MELLON;10;;;;;;;;;;;;;;;;;;;;;;;
99;ALPHABET A;0;0;0;0;0;0;0;0;1;1;2;;;;PHILIP MORRIS INTL.;9;;;;;;;;;;;;;;;;;;;;;;;
100;PAYPAL HOLDINGS;0;0;0;0;0;0;0;0;1;1;2;;;;VISA 'A';10;;;;;;;;;;;;;;;;;;;;;;;
101;ALPHABET 'C';0;0;0;0;0;0;0;0;1;1;2;;;;KINDER MORGAN;7;;;;;;;;;;;;;;;;;;;;;;;
102;CHARTER COMMS.CL.A;1;1;1;1;1;1;1;1;1;1;10;;;;ACCENTURE CLASS A;9;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;GENERAL MOTORS;8;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;FACEBOOK CLASS A;5;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;DUKE ENERGY;10;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;MONDELEZ INTERNATIONAL CL.A;10;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ABBVIE;5;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;TWENTY-FIRST CENTURY FOX CL.A;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;TWENTY-FIRST CENTURY FOX CL.B;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;BOOKING HOLDINGS;10;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;MEDTRONIC;3;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;WALGREENS BOOTS ALLIANCE;3;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ALLERGAN;4;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;DOWDUPONT;0;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;KRAFT HEINZ;2;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ALPHABET A;2;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;PAYPAL HOLDINGS;2;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ALPHABET 'C';2;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;CHARTER COMMS.CL.A;10;;;;;;;;;;;;;;;;;;;;;;;
